"Key","Enabled","Is Group","Parent SAT Product or Service Key","Key Name","Description"
"10214100",1,1,"","10214100 - Gladiolo vivo","Gladiolo vivo"
"10214200",1,1,"","10214200 - Godetia viva","Godetia viva"
"10214300",1,1,"","10214300 - Bromelia viva","Bromelia viva"
"10214400",1,1,"","10214400 - Gypsophilia viva","Gypsophilia viva"
"10214500",1,1,"","10214500 - Brezo vivo","Brezo vivo"
"10214600",1,1,"","10214600 - Heliconia viva","Heliconia viva"
"10214700",1,1,"","10214700 - Jacinto vivo","Jacinto vivo"
"10214800",1,1,"","10214800 - Hydrangea viva","Hydrangea viva"
"10214900",1,1,"","10214900 - Iris Viva","Iris Viva"
"10215000",1,1,"","10215000 - Pata de canguro viva","Pata de canguro viva"
"10215100",1,1,"","10215100 - Delfinio vivo","Delfinio vivo"
"10215200",1,1,"","10215200 - Lepto vivo","Lepto vivo"
"10215300",1,1,"","10215300 - Lila viva","Lila viva"
"10215400",1,1,"","10215400 - Azucena viva","Azucena viva"
"10215500",1,1,"","10215500 - Lavanda viva","Lavanda viva"
"10215600",1,1,"","10215600 - Lisianthus vivo","Lisianthus vivo"
"10215700",1,1,"","10215700 - Muscari viva","Muscari viva"
"10215800",1,1,"","10215800 - Narciso vivo","Narciso vivo"
"10216000",1,1,"","10216000 - Pimientos ornamentales vivos","Pimientos ornamentales vivos"
"10216100",1,1,"","10216100 - Estrella de Belén viva","Estrella de Belén viva"
"10216200",1,1,"","10216200 - Peonia viva","Peonia viva"
"10216300",1,1,"","10216300 - Banksia viva","Banksia viva"
"10216400",1,1,"","10216400 - Ranúculo vivo","Ranúculo vivo"
"10216500",1,1,"","10216500 - Escabiosa viva","Escabiosa viva"
"10216600",1,1,"","10216600 - Retama de escobas viva","Retama de escobas viva"
"10216700",1,1,"","10216700 - Boca de dragón viva","Boca de dragón viva"
"10216800",1,1,"","10216800 - Romero del pantano viva","Romero del pantano viva"
"10216900",1,1,"","10216900 - Matiola viva","Matiola viva"
"10217000",1,1,"","10217000 - Girasol viva","Girasol viva"
"10217100",1,1,"","10217100 - Guisante de olor vivo","Guisante de olor vivo"
"10217200",1,1,"","10217200 - Cardo vivo","Cardo vivo"
"10217300",1,1,"","10217300 - Tulipán vivo","Tulipán vivo"
"10217400",1,1,"","10217400 - Flor de cera viva","Flor de cera viva"
"10217500",1,1,"","10217500 - Hierba de aquiles viva","Hierba de aquiles viva"
"10217600",1,1,"","10217600 - Zinnia viva","Zinnia viva"
"10217700",1,1,"","10217700 - Forsythia viva","Forsythia viva"
"10217800",1,1,"","10217800 - Geranio vivo","Geranio vivo"
"10217900",1,1,"","10217900 - Amaryllis viva","Amaryllis viva"
"10218000",1,1,"","10218000 - Rubdeckia viva","Rubdeckia viva"
"10218100",1,1,"","10218100 - Protea viva","Protea viva"
"10218200",1,1,"","10218200 - leucadendron vivo","leucadendron vivo"
"10218300",1,1,"","10218300 - leucospermum vivo","leucospermum vivo"
"10221500",1,1,"","10221500 - Agapanto vivo","Agapanto vivo"
"10221600",1,1,"","10221600 - Alchimilla viva","Alchimilla viva"
"10221700",1,1,"","10221700 - Astilbe vivo","Astilbe vivo"
"10221800",1,1,"","10221800 - angélica viva","angélica viva"
"10221900",1,1,"","10221900 - ajenjo vivo","ajenjo vivo"
"10222000",1,1,"","10222000 - Flor de alcachofa viva","Flor de alcachofa viva"
"10222100",1,1,"","10222100 - Astrantia viva","Astrantia viva"
"10222200",1,1,"","10222200 - Flor de banano viva","Flor de banano viva"
"10222300",1,1,"","10222300 - Baptisia viva","Baptisia viva"
"10222400",1,1,"","10222400 - Boronia viva","Boronia viva"
"10222500",1,1,"","10222500 - Bromelia viva","Bromelia viva"
"10222600",1,1,"","10222600 - Brunia viva","Brunia viva"
"10222700",1,1,"","10222700 - Catalea viva","Catalea viva"
"10222800",1,1,"","10222800 - Calcynia viva","Calcynia viva"
"10222900",1,1,"","10222900 - Caléndula viva","Caléndula viva"
"10223000",1,1,"","10223000 - Campanilla viva","Campanilla viva"
"10223100",1,1,"","10223100 - Cestrum vivo","Cestrum vivo"
"10223200",1,1,"","10223200 - Chasmante viva","Chasmante viva"
"10223300",1,1,"","10223300 - Costus viva","Costus viva"
"10223400",1,1,"","10223400 - Vara de San José viva","Vara de San José viva"
"10223500",1,1,"","10223500 - Lirio del Fuego vivo","Lirio del Fuego vivo"
"10223600",1,1,"","10223600 - Flor del muelle viva","Flor del muelle viva"
"10223700",1,1,"","10223700 - Planta erizo viva","Planta erizo viva"
"10223800",1,1,"","10223800 - Manzanilla viva","Manzanilla viva"
"10223900",1,1,"","10223900 - Nomeolvides viva","Nomeolvides viva"
"10224000",1,1,"","10224000 - Gallardia viva","Gallardia viva"
"10224100",1,1,"","10224100 - Genciana viva","Genciana viva"
"10224200",1,1,"","10224200 - Gladiolo vivo","Gladiolo vivo"
"10224300",1,1,"","10224300 - Gloriosa viva","Gloriosa viva"
"10224400",1,1,"","10224400 - Violeta silvestre viva","Violeta silvestre viva"
"10224500",1,1,"","10224500 - Eléboro vivo","Eléboro vivo"
"10224600",1,1,"","10224600 - Ixia viva","Ixia viva"
"10224700",1,1,"","10224700 - Liatrises vivas","Liatrises vivas"
"10224800",1,1,"","10224800 - Lysimachia viva","Lysimachia viva"
"10224900",1,1,"","10224900 - Maraca viva","Maraca viva"
"10225000",1,1,"","10225000 - Caléndula viva","Caléndula viva"
"10225100",1,1,"","10225100 - Mimosa viva","Mimosa viva"
"10225200",1,1,"","10225200 - Nerina viva","Nerina viva"
"10225300",1,1,"","10225300 - Flor de nogal viva","Flor de nogal viva"
"10225400",1,1,"","10225400 - Phlox viva","Phlox viva"
"10225500",1,1,"","10225500 - physostegia viva","physostegia viva"
"10225600",1,1,"","10225600 - Saponaria viva","Saponaria viva"
"10225700",1,1,"","10225700 - Sarracenias vivas","Sarracenias vivas"
"10225800",1,1,"","10225800 - Sicilia viva","Sicilia viva"
"10225900",1,1,"","10225900 - Sedum viva","Sedum viva"
"10226000",1,1,"","10226000 - Especies individuales o variedades de flores vivas","Especies individuales o variedades de flores vivas"
"10226100",1,1,"","10226100 - Sello de salomón (polygonato) viva","Sello de salomón (polygonato) viva"
"10226200",1,1,"","10226200 - Tanaceto vivo","Tanaceto vivo"
"10226300",1,1,"","10226300 - Traquelio vivo","Traquelio vivo"
"10226400",1,1,"","10226400 - Tuberosas vivas","Tuberosas vivas"
"10226500",1,1,"","10226500 - Tweedias vivas","Tweedias vivas"
"10226600",1,1,"","10226600 - Verónicas vivas","Verónicas vivas"
"10226700",1,1,"","10226700 - Watsonias vivas","Watsonias vivas"
"10231500",1,1,"","10231500 - Crisantemo vivo pompón","Crisantemo vivo pompón"
"10231600",1,1,"","10231600 - Crisantemo vivo pompón margarita","Crisantemo vivo pompón margarita"
